"Codigo interno";"Código FONASA";"CONSULTAS Y ATENCION MEDICA";valor
3307;101001;"Consulta Medicina General";65610
4906;101007;"Atención médica del recién nacido en sala de parto o pabellón quirúrgico c/s reanimación cardio-resp";77000
5247;101103;"Consulta en Unidades de Urgencia Hospitalaria";83040
4956;101201;"Consulta Médica de Especialidad en Dermatología";93420
5935;101202;"Consulta Médica de Especialidad en Geriatría";31140
8423;101203;"Consulta Médica de Especialidad en Neurocirugía";20760
3120;101204;"Consulta Médica de Especialidad en Oftalmología";10380
7757;101205;"Consulta Médica de Especialidad en Otorrinolaringología";83040
2932;101206;"Consulta Médica de Especialidad en Reumatología";41520
7951;101207;"Consulta Médica de Especialidad en Endocrinología Adulto";20760
2303;101208;"Consulta Médica de Especialidad en Endocrinología Pediátrica";93420
3425;101209;"Consulta Médica de Especialidad en Neurología Adultos";41520
9498;101210;"Consulta Médica de Especialidad en Neurología Pediátrica";72660
2794;101211;"Consulta Médica de Especialidad en Oncología Médica";20760
2778;101212;"Consulta Médica de Especialidad en Psiquiatría adultos";51900
7780;101213;"Consulta Médica de Especialidad en Psiquiatría pediátrica y de la adolescencia";93420
2018;101300;"Consulta Médica otras Especialidades";51900
8731;101301;"Consulta Médica de Especialidad en Cardiología";62280
6600;101302;"Consulta Médica de Especialidad en Hematología";62280
2397;101303;"Consulta Médica de Especialidad en Infectología";41520
4503;101304;"Consulta Médica de Especialidad en Inmunología";62280
6030;101305;"Consulta Médica de Especialidad en Medicina Familiar";103800
3055;101306;"Consulta Médica de Especialidad en Medicina Física y Rehabilitación";62280
6257;101307;"Consulta Médica de Especialidad en Medicina Interna";93420
2960;101308;"Consulta Médica de Especialidad en Obstetricia y Ginecología";93420
5811;101309;"Consulta Médica de Especialidad en Pediatría";93420
9823;101310;"Consulta Médica de Especialidad en Traumatología y Ortopedia";72660
3612;101311;"Consulta Médica de Especialidad en Urología";51900
5685;101312;"Consulta Médica de Especialidad en Cirugía General";51900
3002;101313;"Consulta Médica de Especialidad en Cirugía de Cabeza, Cuello y Maxilofacial";62280
3392;101314;"Consulta Médica de Especialidad en Cirugía Cardiovascular";51900
8880;101315;"Consulta Médica de Especialidad en Cirugía de Tórax";103800
