bonificacion;grupo
40;"ATENCION ABIERTA"
100;"ATENCION CERRADA"
70;"EXAMENES DE LABORATORIO"
70;"MEDICINA NUCLEAR"
30;"KINESIOLOGÍA Y TERAPIA OCUPACIONAL"
10;"MEDICINA TRANSFUSIONAL Y BANCO DE TEJIDOS"
10;"ANATOMIA PATOLOGICA"
50;"PSIQUIATRIA Y SALUD MENTAL"
20;"NEUROLOGIA Y NEUROCIRUGIA"
100;OFTALMOLOGÍA
60;OTORRINOLARINGOLOGÍA
80;"CIRUGIA DE CABEZA Y CUELLO"
20;"CIRUGIA PLASTICA Y REPARADORA"
50;"DERMATOLOGIA Y TEGUMENTOS"
10;CARDIOLOGIA
70;GASTROENTEROLOGIA
30;"UROLOGIA Y NEFROLOGIA"
40;"GINECOLOGIA Y OBSTETRICIA"
40;TRAUMATOLOGIA
20;ANESTESIA
20;"RESCATES TRASLADOS Y RONDAS RURALES"
10;"ATENCIONES INTEGRALES"
70;"ATENCION ODONTOLOGICA"
90;"TRATAMIENTOS INTEGRALES DE BRAQUITERAPIA RADIOTERAPIA NEUTROPENIA ONCOLÓGICA Y FARMACOLÓGICO ONCOLÓG"
0;"GRUPO DE PRESTACIONES: lentes audífonos y TBC."
