bonificacion;grupo
20;"ATENCION ABIERTA"
10;"ATENCION CERRADA"
80;"EXAMENES DE LABORATORIO"
70;"MEDICINA NUCLEAR"
80;"KINESIOLOGÍA Y TERAPIA OCUPACIONAL"
60;"MEDICINA TRANSFUSIONAL Y BANCO DE TEJIDOS"
20;"ANATOMIA PATOLOGICA"
20;"PSIQUIATRIA Y SALUD MENTAL"
20;"NEUROLOGIA Y NEUROCIRUGIA"
80;OFTALMOLOGÍA
40;OTORRINOLARINGOLOGÍA
80;"CIRUGIA DE CABEZA Y CUELLO"
70;"CIRUGIA PLASTICA Y REPARADORA"
60;"DERMATOLOGIA Y TEGUMENTOS"
60;CARDIOLOGIA
30;GASTROENTEROLOGIA
40;"UROLOGIA Y NEFROLOGIA"
90;"GINECOLOGIA Y OBSTETRICIA"
90;TRAUMATOLOGIA
20;ANESTESIA
90;"RESCATES TRASLADOS Y RONDAS RURALES"
50;"ATENCIONES INTEGRALES"
60;"ATENCION ODONTOLOGICA"
50;"TRATAMIENTOS INTEGRALES DE BRAQUITERAPIA RADIOTERAPIA NEUTROPENIA ONCOLÓGICA Y FARMACOLÓGICO ONCOLÓG"
0;"GRUPO DE PRESTACIONES: lentes audífonos y TBC."
