"Codigo interno";"Código FONASA";"CONSULTAS Y ATENCION MEDICA";valor
8423;101334;"Consulta Médica de Especialidad en Medicina Nuclear";72660
9230;302036;Fenilalanina;18080
2000;;Renina;60880
;303123;"Índice androgénico (incluye Testosterona Total y SHBG)";84480
7147;303030;"Estradiol (17-Beta)";
3956;304013;"Amplificación de ADN y ARN por PCR convencional de 1 fragmento";1074480
8532;305029;"Inmunoglobulinas IgE, IgG específicas, c/u";22760
7236;305039;"Fagocitosis: ingestión y digestión (killing) de bacterias por polimorfonucleares";117630
1621;305049;"Transformación linfoblástica a drogas, análisis de transformación espontánea con estímulo inespecífico y con diferentes concentraciones de la droga en 1000 células";152880
4513;305097;"Cuantificación de células progenitoras hematopoyéticas CD 34";425850
8459;306002;"Baciloscopía Ziehl-Neelsen, c/u";3640
2155;306039;"Tíficas, reacciones de aglutinación  (Eberth H y O, paratyphi A y B) (Widal)";39900
8323;306047;"Coproparasitario seriado para Isospora y Sarcocystis (incluye diagnóstico de gusanos macroscópicos y examen  microscópico de 3 muestras separadas)";10260
5948;306051;"Graham, examen de (incluye diagnóstico de gusanos macroscópicos y examen microscópico de 5 muestras separadas)";6780
4272;306053;"Hemoparásitos, diagnóstico microscópico de (mínimo 10 frotis y/o gotas gruesas, c/s examen directo al fresco), cada sesión";76560
7271;306169;"Anticuerpos virales, determ. de H.I.V.";47920
3370;306083;"Citomegalovirus (CMV) shell vial aislamiento rápido";82100
2286;306271;"Test rápido de detección de antígenos SARS-CoV-2 (incluye toma de muestra)";76640
3241;306143;"PCR para virus varicela zoster ";394590
3316;306145;"CMV, carga viral";237930
2286;307023;"Aspirados nasofaríngeo para adulto y niño.";10000
1584;308011;"Directo al fresco c/s tinción, (incluye trichomonas)";9480
8190;308014;"Físico-químico (incluye aspecto, color, pH, glucosa, proteína, Pandy y filancia)";20000
6656;309017;"Hidroxiprolina en orina";43110
1902;401010;"Mamografía bilateral";161700
3038;401033;"Radiografía de Cráneo  proyección especial de  base de cráneo (Towne)";81200
