[2025-10-29 12:19:19] L2 codF:'0101001'->101001 | valor:'7.290'->7290
[2025-10-29 12:19:19] L3 codF:'0101007'->101007 | atencion:>100 -> trunc | valor:'19.250'->19250
[2025-10-29 12:19:19] L4 codF:'0101103'->101103 | valor:'10.380'->10380
[2025-10-29 12:19:19] L5 codF:'0101201'->101201 | valor:'10.380'->10380
[2025-10-29 12:19:19] L6 codF:'0101202'->101202 | valor:'10.380'->10380
[2025-10-29 12:19:19] L7 codF:'0101203'->101203 | valor:'10.380'->10380
[2025-10-29 12:19:19] L8 codF:'0101204'->101204 | valor:'10.380'->10380
[2025-10-29 12:19:19] L9 codF:'0101205'->101205 | valor:'10.380'->10380
[2025-10-29 12:19:19] L10 codF:'0101206'->101206 | valor:'10.380'->10380
[2025-10-29 12:19:19] L11 codF:'0101207'->101207 | valor:'10.380'->10380
[2025-10-29 12:19:19] L12 codF:'0101208'->101208 | valor:'10.380'->10380
[2025-10-29 12:19:19] L13 codF:'0101209'->101209 | valor:'10.380'->10380
[2025-10-29 12:19:19] L14 codF:'0101210'->101210 | valor:'10.380'->10380
[2025-10-29 12:19:19] L15 codF:'0101211'->101211 | valor:'10.380'->10380
[2025-10-29 12:19:19] L16 codF:'0101212'->101212 | valor:'10.380'->10380
[2025-10-29 12:19:19] L17 codF:'0101213'->101213 | valor:'10.380'->10380
[2025-10-29 12:19:19] L18 codF:'0101300'->101300 | valor:'10.380'->10380
[2025-10-29 12:19:19] L19 codF:'0101301'->101301 | valor:'10.380'->10380
[2025-10-29 12:19:19] L20 codF:'0101302'->101302 | valor:'10.380'->10380
[2025-10-29 12:19:19] L21 codF:'0101303'->101303 | valor:'10.380'->10380
[2025-10-29 12:19:19] L22 codF:'0101304'->101304 | valor:'10.380'->10380
[2025-10-29 12:19:19] L23 codF:'0101305'->101305 | valor:'10.380'->10380
[2025-10-29 12:19:19] L24 codF:'0101306'->101306 | valor:'10.380'->10380
[2025-10-29 12:19:19] L25 codF:'0101307'->101307 | valor:'10.380'->10380
[2025-10-29 12:19:19] L26 codF:'0101308'->101308 | valor:'10.380'->10380
[2025-10-29 12:19:19] L27 codF:'0101309'->101309 | valor:'10.380'->10380
[2025-10-29 12:19:19] L28 codF:'0101310'->101310 | valor:'10.380'->10380
[2025-10-29 12:19:19] L29 codF:'0101311'->101311 | valor:'10.380'->10380
[2025-10-29 12:19:19] L30 codF:'0101312'->101312 | valor:'10.380'->10380
[2025-10-29 12:19:19] L31 codF:'0101313'->101313 | valor:'10.380'->10380
[2025-10-29 12:19:19] L32 codF:'0101314'->101314 | valor:'10.380'->10380
[2025-10-29 12:19:19] L33 codF:'0101315'->101315 | valor:'10.380'->10380
[2025-10-29 12:19:19] L34 codF:'0101316'->101316 | valor:'10.380'->10380
[2025-10-29 12:19:19] L35 codF:'0101317'->101317 | valor:'10.380'->10380
[2025-10-29 12:19:19] L36 codF:'0101318'->101318 | valor:'10.380'->10380
[2025-10-29 12:19:19] L37 codF:'0101319'->101319 | valor:'10.380'->10380
[2025-10-29 12:19:19] L38 codF:'0101320'->101320 | valor:'10.380'->10380
[2025-10-29 12:19:19] L39 codF:'0101321'->101321 | valor:'10.380'->10380
[2025-10-29 12:19:19] L40 codF:'0101322'->101322 | valor:'10.380'->10380
[2025-10-29 12:19:19] L41 codF:'0101323'->101323 | valor:'10.380'->10380
[2025-10-29 12:19:19] L42 codF:'0101324'->101324 | valor:'10.380'->10380
[2025-10-29 12:19:19] L43 codF:'0101325'->101325 | valor:'10.380'->10380
[2025-10-29 12:19:19] L44 codF:'0101326'->101326 | valor:'10.380'->10380
[2025-10-29 12:19:19] L45 codF:'0101327'->101327 | valor:'10.380'->10380
[2025-10-29 12:19:19] L46 codF:'0101328'->101328 | valor:'10.380'->10380
[2025-10-29 12:19:19] L47 codF:'0101329'->101329 | valor:'10.380'->10380
[2025-10-29 12:19:19] L48 codF:'0101330'->101330 | valor:'10.380'->10380
[2025-10-29 12:19:19] L49 codF:'0101331'->101331 | valor:'10.380'->10380
[2025-10-29 12:19:19] L50 codF:'0101332'->101332 | valor:'10.380'->10380
[2025-10-29 12:19:19] L51 codF:'0101333'->101333 | valor:'10.380'->10380
[2025-10-29 12:19:19] L52 codF:'0101334'->101334 | valor:'10.380'->10380
[2025-10-29 12:19:19] L53 codF:'0102002'->102002 | valor:'2.760'->2760 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L54 codF:'0102003'->102003 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L55 codF:'0102005'->102005 | valor:'2.200'->2200 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L56 codF:'0102008'->102008 | valor:'1.620'->1620 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L57 codF:'0102009'->102009 | valor:'1.620'->1620 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L58 codF:'0102010'->102010 | valor:'1.620'->1620 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L59 codF:'0102011'->102011 | valor:'1.620'->1620 | tipo:>30 -> trunc
[2025-10-29 12:19:19] L60 codF:'0103001'->103001 | valor:'5.310'->5310
[2025-10-29 12:19:19] L61 codF:'0103003'->103003 | valor:'2.920'->2920
[2025-10-29 12:19:19] L62 codF:'0103004'->103004
[2025-10-29 12:19:19] L63 codF:'0103005'->103005 | valor:'2.920'->2920
[2025-10-29 12:19:19] L64 codF:'0103006'->103006 | valor:'2.920'->2920
[2025-10-29 12:19:19] L65 codF:'0103007'->103007 | valor:'2.920'->2920
[2025-10-29 12:19:19] L66 codF:'0104002'->104002 | valor:'2.530'->2530
[2025-10-29 12:19:19] L67 codF:'0104003'->104003 | valor:'1.460'->1460
[2025-10-29 12:19:19] L68 codF:'0104004'->104004 | valor:'2.530'->2530
[2025-10-29 12:19:19] L69 codF:'0104005'->104005 | valor:'2.530'->2530
[2025-10-29 12:19:19] L70 codF:'0104006'->104006 | valor:'2.530'->2530
[2025-10-29 12:19:19] L71 codF:'0106002'->106002
[2025-10-29 12:19:19] L72 codF:'0106007'->106007 | valor:'30.030'->30030
[2025-10-29 12:19:19] L73 codF:'0106101'->106101 | valor:'7.000'->7000
