bonificacion;grupo
20;ATENCION ABIERTA
40;ATENCION CERRADA
20;EXAMENES DE LABORATORIO
20;MEDICINA NUCLEAR
20;KINESIOLOGÍA Y TERAPIA OCUPACIONAL
60;MEDICINA TRANSFUSIONAL Y BANCO DE TEJIDOS
100;ANATOMIA PATOLOGICA
100;PSIQUIATRIA Y SALUD MENTAL
20;NEUROLOGIA Y NEUROCIRUGIA
50;OFTALMOLOGÍA
10;OTORRINOLARINGOLOGÍA
30;CIRUGIA DE CABEZA Y CUELLO
50;CIRUGIA PLASTICA Y REPARADORA
70;DERMATOLOGIA Y TEGUMENTOS
60;CARDIOLOGIA
40;GASTROENTEROLOGIA
20;UROLOGIA Y NEFROLOGIA
90;GINECOLOGIA Y OBSTETRICIA
40;TRAUMATOLOGIA
40;ANESTESIA
60;RESCATES TRASLADOS Y RONDAS RURALES
50;ATENCIONES INTEGRALES
100;ATENCION ODONTOLOGICA
80;TRATAMIENTOS INTEGRALES DE BRAQUITERAPIA RADIOTERAPIA NEUTROPENIA ONCOLÓGICA Y FARMACOLÓGICO ONCOLÓGICO
;GRUPO DE PRESTACIONES: lentes audífonos y TBC.
