Código;"Código adicional";"CONSULTAS Y ATENCION MEDICA";"Valor fonasa";Grupo;tipo
101001;;"Consulta Medicina General";7290;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101007;;"Atención médica del recién nacido en sala de parto o pabellón quirúrgico c/s reanimación cardio-resp";19250;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101103;;"Consulta en Unidades de Urgencia Hospitalaria";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101201;;"Consulta Médica de Especialidad en Dermatología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101202;;"Consulta Médica de Especialidad en Geriatría";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101203;;"Consulta Médica de Especialidad en Neurocirugía";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101204;;"Consulta Médica de Especialidad en Oftalmología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101205;;"Consulta Médica de Especialidad en Otorrinolaringología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101206;;"Consulta Médica de Especialidad en Reumatología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101207;;"Consulta Médica de Especialidad en Endocrinología Adulto";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101208;;"Consulta Médica de Especialidad en Endocrinología Pediátrica";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101209;;"Consulta Médica de Especialidad en Neurología Adultos";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101210;;"Consulta Médica de Especialidad en Neurología Pediátrica";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101211;;"Consulta Médica de Especialidad en Oncología Médica";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101212;;"Consulta Médica de Especialidad en Psiquiatría adultos";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101213;;"Consulta Médica de Especialidad en Psiquiatría pediátrica y de la adolescencia";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101300;;"Consulta Médica otras Especialidades";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101301;;"Consulta Médica de Especialidad en Cardiología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101302;;"Consulta Médica de Especialidad en Hematología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101303;;"Consulta Médica de Especialidad en Infectología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101304;;"Consulta Médica de Especialidad en Inmunología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101305;;"Consulta Médica de Especialidad en Medicina Familiar";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101306;;"Consulta Médica de Especialidad en Medicina Física y Rehabilitación";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101307;;"Consulta Médica de Especialidad en Medicina Interna";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
101308;;"Consulta Médica de Especialidad en Obstetricia y Ginecología";10380;"ATENCION ABIERTA";"CONSULTAS Y ATENCION MEDICA"
