"Código genérico";"Nombre producto genérico";"Descripción producto genérico";"Tipo producto";"Código ONU";"Clasificación ONU";"Clasificación interna";"Estado Código genérico";"Canasta Esencial de Medicamentos";precio
100000000;"RIFAMPICINA/ISONIAZIDA 150/150 MG CM/CP";"RIFAMPICINA 150 MG /ISONIAZIDA 150 MG COMPRIMIDO O CAPSULA ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.";Fármacos;51102002;"Hidrocloruro de etam";Antituberculosos;inactivo;0;33975
100000001;"ICATIBAN 10MG/ML SOL.INY JER PRE 3ML";"MATERIAL UNIDAD DE ESTUDIOS: ICATIBAN 10MG/ML SOLUCION INYECTABLEENVASADA EN DISPOSITIVO O JERINGA PRELLENADA 3ML  PARA ADMINISTRACIONSUBCUTANEA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR DOSPOSITIVO O JERINGA PREL";Fármacos;;;"Medicamentos y Productos Farmacéuticos";inactivo;0;49597
100000002;"TOFACITINIB 10 MG CM REC";"MATERIAL UNIDAD DE ESTUDIOS: TOFACITINIB 10 MG COMPRIMIDO RECUBIERTO.ENVASADO EN BLISTER O FRASCO HASTA 60 COMPRIMIDOS. ENVASE RESISTENTE CONSELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR PORCOMPRIMIDO.";Fármacos;;;"Medicamentos y Productos Farmacéuticos";inactivo;0;59409
100000003;"A.A SALICILIC 100MG CM/CM REC/CP";"ACIDO ACETIL SALICILICO 100 MG COMPRIMIDO O COMPRIMIDO CON RECUBRIMIENTO ENTERICO O CAPSULA CON GRANULOS CON RECUBRIMIENTO ENTERICO ENVASADO ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSUL";Fármacos;51142002;"Ácido acetilsalicíli";"Trombolíticos/inhib. agregación plaquet.";activo;1;14458
100000004;"ABACAVIR 20 MG/ML SOL ORAL 200A240ML FRA";"ABACAVIR SULFATO SOLUCION ORAL 20 MG/ML FRASCO 200 A 240 ML. ENVASERESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. PRECIOSERA EVALUADO POR ML. COTIZAR POR FRASCO.";Fármacos;51102322;"Sulfato de abacavir";Antivirales;activo;0;14252
100000005;"ABACAVIR 300 MG CM REC.";"ABACAVIR 300 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER O FRASCO.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR COMPRIMIDO RECUBIERTO.";Fármacos;51102322;"Sulfato de abacavir";Antivirales;activo;0;12024
100000006;"ABACAVIR/LAMIVUDINA 600/300 MG CM REC.";"ABACAVIR/LAMIVUDINA 600/300 MG COMPRIMIDO RECUBIERTO. ENVASE RESISTENTECON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.";Fármacos;51102322;"Sulfato de abacavir";Antivirales;activo;0;8321
100000007;"ABSORBENTE ANHIDRIDO CARBONICO X KG";"ABSORBENTE  DE ANHIDRIDO CARBONICO Y VAPOR DE AGUA CON INDICADOR DE VIRAJE (QUE SEÑALE EL AGOTAMIENTO DE LA CAL SODADA) FORMA IRREGULAR TAMAÑO DEL GRANO 4 A 8 MESH BIDON O BOLSA HASTA 5 KG. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONT";Insumos;42272502;"Unidades de absorció";"Dispositivos y accesorios médicos";inactivo;0;51038
100000008;"ACELER. INFUSION P/SANGRE REUTILIZABLE";"ACELERADOR DE INFUSION P/SANGRE Y SOLUCIONES  REUTILIZABLE C/PERAINSUFLADORA  VALVULA Y MANOMETRO CONTROL DE PRESION ENVASE INDIVIDUALRESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO";Insumos;42222301;"Equipos de administr";"Dispositivos y accesorios médicos";inactivo;0;4097
100000009;"ACENOCUMAROL 4 MG CM/CM REC RANURADO";"ACENOCUMAROL 4 MG COMPRIMIDO RANURADO O COMPRIMIDO RECUBIERTO RANURADO EL RANURADO DEBE SER EN CRUZ  ENVASADO EN BLISTER. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR PORCOMPRIMIDO O COMPRIMIDO RECUBIERTO.";Fármacos;51131613;Dicumarol;Anticoagulantes;activo;1;21980
