bonificacion;grupo
100;"ATENCION ABIERTA"
60;"ATENCION CERRADA"
20;"EXAMENES DE LABORATORIO"
50;"MEDICINA NUCLEAR"
60;"KINESIOLOGÍA Y TERAPIA OCUPACIONAL"
60;"MEDICINA TRANSFUSIONAL Y BANCO DE TEJIDOS"
80;"ANATOMIA PATOLOGICA"
10;"PSIQUIATRIA Y SALUD MENTAL"
10;"NEUROLOGIA Y NEUROCIRUGIA"
80;OFTALMOLOGÍA
30;OTORRINOLARINGOLOGÍA
70;"CIRUGIA DE CABEZA Y CUELLO"
70;"CIRUGIA PLASTICA Y REPARADORA"
20;"DERMATOLOGIA Y TEGUMENTOS"
60;CARDIOLOGIA
100;GASTROENTEROLOGIA
100;"UROLOGIA Y NEFROLOGIA"
60;"GINECOLOGIA Y OBSTETRICIA"
100;TRAUMATOLOGIA
50;ANESTESIA
30;"RESCATES TRASLADOS Y RONDAS RURALES"
80;"ATENCIONES INTEGRALES"
50;"ATENCION ODONTOLOGICA"
40;"TRATAMIENTOS INTEGRALES DE BRAQUITERAPIA RADIOTERAPIA NEUTROPENIA ONCOLÓGICA Y FARMACOLÓGICO ONCOLÓG"
0;"GRUPO DE PRESTACIONES: lentes audífonos y TBC."
