bonificacion;grupo
10;"ATENCION ABIERTA"
50;"ATENCION CERRADA"
10;"EXAMENES DE LABORATORIO"
50;"MEDICINA NUCLEAR"
70;"KINESIOLOGÍA Y TERAPIA OCUPACIONAL"
20;"MEDICINA TRANSFUSIONAL Y BANCO DE TEJIDOS"
90;"ANATOMIA PATOLOGICA"
20;"PSIQUIATRIA Y SALUD MENTAL"
20;"NEUROLOGIA Y NEUROCIRUGIA"
30;OFTALMOLOGÍA
70;OTORRINOLARINGOLOGÍA
80;"CIRUGIA DE CABEZA Y CUELLO"
30;"CIRUGIA PLASTICA Y REPARADORA"
10;"DERMATOLOGIA Y TEGUMENTOS"
20;CARDIOLOGIA
50;GASTROENTEROLOGIA
20;"UROLOGIA Y NEFROLOGIA"
60;"GINECOLOGIA Y OBSTETRICIA"
30;TRAUMATOLOGIA
70;ANESTESIA
20;"RESCATES TRASLADOS Y RONDAS RURALES"
70;"ATENCIONES INTEGRALES"
80;"ATENCION ODONTOLOGICA"
10;"TRATAMIENTOS INTEGRALES DE BRAQUITERAPIA RADIOTERAPIA NEUTROPENIA ONCOLÓGICA Y FARMACOLÓGICO ONCOLÓG"
0;"GRUPO DE PRESTACIONES: lentes audífonos y TBC."
