bonificacion;grupo
60;"ATENCION ABIERTA"
80;"ATENCION CERRADA"
70;"EXAMENES DE LABORATORIO"
40;"MEDICINA NUCLEAR"
90;"KINESIOLOGÍA Y TERAPIA OCUPACIONAL"
60;"MEDICINA TRANSFUSIONAL Y BANCO DE TEJIDOS"
80;"ANATOMIA PATOLOGICA"
40;"PSIQUIATRIA Y SALUD MENTAL"
40;"NEUROLOGIA Y NEUROCIRUGIA"
10;OFTALMOLOGÍA
30;OTORRINOLARINGOLOGÍA
100;"CIRUGIA DE CABEZA Y CUELLO"
70;"CIRUGIA PLASTICA Y REPARADORA"
70;"DERMATOLOGIA Y TEGUMENTOS"
90;CARDIOLOGIA
20;GASTROENTEROLOGIA
40;"UROLOGIA Y NEFROLOGIA"
70;"GINECOLOGIA Y OBSTETRICIA"
80;TRAUMATOLOGIA
60;ANESTESIA
30;"RESCATES TRASLADOS Y RONDAS RURALES"
70;"ATENCIONES INTEGRALES"
100;"ATENCION ODONTOLOGICA"
40;"TRATAMIENTOS INTEGRALES DE BRAQUITERAPIA RADIOTERAPIA NEUTROPENIA ONCOLÓGICA Y FARMACOLÓGICO ONCOLÓG"
0;"GRUPO DE PRESTACIONES: lentes audífonos y TBC."
