Código;Código adicional;CONSULTAS Y ATENCION MEDICA;Valor fonasa;Grupo;tipo
0101001;;Consulta Medicina General;7.290;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101007;;Atención médica del recién nacido en sala de parto o pabellón quirúrgico c/s reanimación cardio-respiratoria;19.250;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101103;;Consulta en Unidades de Urgencia Hospitalaria;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101201;;Consulta Médica de Especialidad en Dermatología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101202;;Consulta Médica de Especialidad en Geriatría;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101203;;Consulta Médica de Especialidad en Neurocirugía;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101204;;Consulta Médica de Especialidad en Oftalmología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101205;;Consulta Médica de Especialidad en Otorrinolaringología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101206;;Consulta Médica de Especialidad en Reumatología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101207;;Consulta Médica de Especialidad en Endocrinología Adulto;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101208;;Consulta Médica de Especialidad en Endocrinología Pediátrica;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101209;;Consulta Médica de Especialidad en Neurología Adultos;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101210;;Consulta Médica de Especialidad en Neurología Pediátrica;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101211;;Consulta Médica de Especialidad en Oncología Médica;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101212;;Consulta Médica de Especialidad en Psiquiatría adultos;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101213;;Consulta Médica de Especialidad en Psiquiatría pediátrica y de la adolescencia;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101300;;Consulta Médica otras Especialidades;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101301;;Consulta Médica de Especialidad en Cardiología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101302;;Consulta Médica de Especialidad en Hematología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101303;;Consulta Médica de Especialidad en Infectología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101304;;Consulta Médica de Especialidad en Inmunología;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101305;;Consulta Médica de Especialidad en Medicina Familiar;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101306;;Consulta Médica de Especialidad en Medicina Física y Rehabilitación;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
0101307;;Consulta Médica de Especialidad en Medicina Interna;10.380;ATENCION ABIERTA;CONSULTAS Y ATENCION MEDICA
